palabra,n
de,841
y,753
la,524
que,456
en,386
a,352
el,335
los,247
para,172
las,158
un,140
con,139
del,130
una,117
por,111
más,110
nuestros,84
es,83
nuestro,80
no,77
nuestra,75
como,71
chile,68
también,64
estamos,62
nos,55
nuestras,55
país,52
todos,48
eso,45
este,44
lo,43
se,43
al,40
hemos,40
pero,38
esta,37
son,37
hoy,36
mundo,36
porque,35
calidad,33
ha,33
o,33
chilenos,32
mejor,32
sus,32
mayor,30
su,30
va,30
compatriotas,29
día,29
congreso,28
ley,28
sin,27
año,26
estado,26
tenemos,26
e,25
está,25
todas,25
mil,24
desarrollo,23
esa,23
están,23
forma,23
además,22
cada,22
poder,22
vida,22
ya,22
cultura,21
grandes,21
países,21
gobierno,20
muy,20
quiero,20
vamos,20
niños,19
personas,19
proyecto,19
red,19
entre,18
años,17
educación,17
millones,17
mujeres,17
región,17
salud,17
sociedad,17
tiempo,17
esto,16
estos,16
fortalecer,16
gran,16
hacia,16
mejorar,16
modernización,16
nacional,16
sistema,16
tener,16
trabajo,16
veces,16
oportunidades,15
ser,15
siempre,15
todo,15
compromiso,14
derechos,14
desde,14
esfuerzo,14
familias,14
hay,14
muchas,14
permitir,14
reforma,14
regiones,14
van,14
ciudadanos,13
cuando,13
digital,13
ese,13
familia,13
fuerza,13
hacer,13
le,13
marcha,13
materia,13
muchos,13
proyectos,13
seguridad,13
unidad,13
avanzando,12
colaboración,12
cual,12
democracia,12
durante,12
han,12
hecho,12
mayores,12
nuevo,12
plan,12
podemos,12
política,12
santiago,12
cambio,11
construir,11
contra,11
derecho,11
duda,11
fue,11
fuerzas,11
futuro,11
hasta,11
historia,11
libertad,11
libre,11
misión,11
parte,11
poner,11
primero,11
respeto,11
sólo,11
través,11
uno,11
valores,11
acuerdos,10
aquellos,10
chilenas,10
clase,10
comunas,10
desafíos,10
ellos,10
enfrentar,10
hijos,10
instituciones,10
media,10
nosotros,10
revolución,10
sur,10
tiene,10
trabajadores,10
vez,10
acceso,9
adultos,9
avanzar,9
capacidad,9
carabineros,9
combatir,9
crecimiento,9
dar,9
días,9
generación,9
hace,9
inversión,9
lugar,9
ministerio,9
mucha,9
nueva,9
nuevas,9
nuevos,9
parque,9
pensiones,9
protección,9
público,9
recursos,9
sino,9
social,9
tanto,9
us,9
violencia,9
vivir,9
alma,8
américa,8
armadas,8
buena,8
ciudad,8
claro,8
crea,8
cumplir,8
delitos,8
donde,8
esos,8
especialmente,8
fortaleciendo,8
hombres,8
humanos,8
infraestructura,8
integración,8
justicia,8
les,8
ni,8
obras,8
pilar,8
probidad,8
programa,8
puede,8
puerto,8
recuperar,8
reducir,8
sabemos,8
si,8
sido,8
supuesto,8
tan,8
tecnologías,8
tiempos,8
toda,8
transporte,8
últimos,8
voluntad,8
yo,8
araucanía,7
bien,7
campo,7
ciudadana,7
ciudades,7
climático,7
comercio,7
construcción,7
creación,7
dos,7
edad,7
firme,7
junto,7
mundial,7
norte,7
orden,7
otros,7
pasado,7
permita,7
políticas,7
presidente,7
primeros,7
promover,7
proteger,7
pueblos,7
puedan,7
responsabilidad,7
segundo,7
solamente,7
solidario,7
somos,7
tienen,7
transparencia,7
urgencia,7
verdadera,7
viviendas,7
acuerdo,6
agenda,6
así,6
aumentar,6
cárceles,6
civil,6
costo,6
creciendo,6
décadas,6
delincuencia,6
diputados,6
empleos,6
enfermedades,6
estas,6
fortalece,6
fortaleza,6
he,6
igual,6
importantes,6
impulsando,6
jóvenes,6
laboral,6
latina,6
lograr,6
mar,6
mayoría,6
meses,6
modernizaciones,6
mucho,6
nada,6
narcotráfico,6
naturaleza,6
necesita,6
oportunidad,6
paz,6
presidentes,6
principios,6
productividad,6
pronto,6
queremos,6
regionales,6
salarios,6
san,6
seguir,6
sobre,6
tecnología,6
tecnológica,6
territorio,6
tren,6
actual,5
agricultura,5
alto,5
aplicando,5
aporte,5
aprender,5
buenas,5
casa,5
compromisos,5
concepción,5
cultural,5
cumbre,5
defensa,5
dentro,5
deporte,5
desafío,5
descentralización,5
diálogo,5
eficacia,5
enviamos,5
enviaremos,5
fiscal,5
fuera,5
fundamental,5
gobiernos,5
grande,5
igualdad,5
ingreso,5
innovación,5
integral,5
liderar,5
logramos,5
menos,5
metro,5
mis,5
modernizar,5
naturales,5
nivel,5
nunca,5
pie,5
pleno,5
poderes,5
primer,5
primera,5
prioridades,5
proceso,5
propios,5
pública,5
públicas,5
pueblo,5
pueden,5
quieren,5
sana,5
